DOI,Year,Authors,Article Title,Source Title,Volume,Issue,Start Page,End Page,Keywords,Times cited,Affiliations,Abstract,Link,Source
10.1504/IJBIS.2017.080943,2017,"Ababneh H., Shrafat F., Zeglat D.",Approaching information system evaluation methodology and techniques: A comprehensive review,International Journal of Business Information Systems,24,1,1,30,Information system; IT/IS evaluation; IT/IS evaluation methodology; IT/IS evaluation techniques,11.0,"Department of Business Administration, Faculty of Finance and Business Administration, Al Al-Bayt University, P.O. Box 130040., Mafraq, 25113, Jordan; Department of Management, Faculty of Economics and Management Science, Hashemite University, P.O. Box 150459, Zarqa, 13115, Jordan","This paper advances our knowledge of information systems (IS) by drawing ideas and insights from IT/IS evaluation. The emergence and increasing pressure to invest in new IS architecture and infrastructures has become a high priority issue within organisations, and largely influenced by the need to deliver better value products and service through robust and responsive supply chains. With this in mind, business managers are seeking to use appropriate methods and techniques to appraise and justify the financial contribution of IS at strategic, operational and tactical levels. Thus, comprehensive but understandable methodologies are needed to solve the complicated project justification problems arising from the complexity of new technologies. Notwithstanding, a wide body of literature has emerged that sheds light on various methods for evaluating the cost and benefits of IT/IS investment, ranging from simple to very complex techniques. This paper sets out to provide a review of this literature in order to lend insights into our understanding of the plethora of reported research in the literature that has propagated investment justification and benefits management models and frameworks. We show that the IT/IS evaluation literature contributes significantly to scholarship on the IS. Copyright © 2017 Inderscience Enterprises Ltd.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006974821&doi=10.1504%2fIJBIS.2017.080943&partnerID=40&md5=504bbc9776848937a70b215429bb1703,Scopus
10.1007/s43069-022-00135-x,2022,"Abdalla S.S.A., Nakagawa K.","Entrepreneurial Leadership, Supply Chain Innovation, and Adaptability: A Cross-national Investigation",Operations Research Forum,3,1,,,Adaptability; Entrepreneurial leadership; Innovation; Supply chain management,,"Graduate School of Economics, Osaka University, 560-0043 Machikaneyama 1-7, Osaka, Toyonaka, Japan","This study investigates the effects of entrepreneurial leadership on supply chain innovation and supply chain adaptability. Based on theoretical foundations of the upper echelon theory and the dynamic capability theory, it also assesses the mediating role played by supply chain innovation in the relationship between entrepreneurial leadership and supply chain adaptability. Partial least squares structural equation modeling (PLS-SEM) was performed on survey data collected from 139 firms in Sudan, Japan, and China. The results reveal that entrepreneurial leadership had positive effects on supply chain innovation and supply chain adaptability despite varying business environments. The results also provided interesting findings regarding the moderating role of supply chain innovation as a mediator of the relationship between entrepreneurial leadership and supply chain adaptability. The findings of the study stress the importance of entrepreneurial leadership for firms’ adaptability across nations. Although the number of countries included in this study was limited, these countries exhibit different cultural and structural settings. These findings suggest the possibility of the generalizability of the results. The findings also imply that firms should place greater emphasis on improving their supply chain processes and upgrading relevant technologies in order to facilitate the development of adaptable supply chains. © 2022, The Author(s), under exclusive licence to Springer Nature Switzerland AG.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126215018&doi=10.1007%2fs43069-022-00135-x&partnerID=40&md5=cad6683460152a0459d671efd071ac62,Scopus
,2021,Abdalla S.S.A.,Logistics Innovation and Integration: Impact on Supply Chain Adaptability,Proceedings of the Hamburg International Conference of Logistics,31,,639,661,,,"Osaka University, Japan","Purpose: This study investigates the relationships among innovation by logistics services provider (LSP), user's supply chain (SC) adaptability, and the level of the user-provider relationship integration. Using low integrated, standard contractual relationships as a reference group, this study assesses how moderately integrated partnerships and highly integrated strategic relationships moderate the impact of LSP's innovation on the user's SC adaptability. Methodology: Moderated partial least squares structural equation modeling (PLS-SEM) was performed on survey data collected from 48 Sudanese companies. Findings: The findings revealed that innovation by LSPs had the greatest positive impact on SC adaptability in firms maintaining a moderate level of logistics integration. Interestingly, firms highly integrated with their LSPs witnessed a reduced effect of logistics innovation on their SC adaptability. In other words, while user-provider partnerships reinforced the impact of LSPs' innovation on user's SC adaptability, strategic relationships weakened this impact. Originality: Extant literature advocates fully integrating with LSPs to build a responsive, efficient SC. Nevertheless, the complexities of managing a highly integrated relationship with LSPs may pose challenges that exceed the expected benefits of such relationships. This study provides empirical evidence that moderate, rather than full, integration with LSPs may yield greater benefits for the users of logistics services. © 2021 Proceedings of the Hamburg International Conference of Logistics. All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127711680&partnerID=40&md5=b717043131ee2aaa46ef53333f29ef5e,Scopus
10.1002/nav.21940,2021,"Aboolian R., Berman O., Wang J.",Responsive make-to-order supply chain network design,Naval Research Logistics,68,2,241,258,facility location; linear approximation; make-to-order; search and cut; supply chain,4.0,"Department of Operations and Supply Chain Management, California State University San Macros, San Macros, CA, United States; Rotman School of Management, University of Toronto, Toronto, ON, Canada; College of Management, Long Island University Post Campus, Brookville, NY, United States","In this article, we address two network design problems for a responsive supply chain that consists of make-to-order (make-to-assemble) facilities facing stochastic demand and service time. The response time to customer orders, critical to the success of the supply chain, is the sum of the flow time in the facility and the delivery time to the customers. The response time performance in our models is measured by the probability that the response time is shorter than a constant. This nonlinear performance measure makes the models less or not tractable. The objective of both problems is to minimize the expected network cost that consists of the cost of delivery to customers as a function of the time of delivery (or the mode of transportation), the fixed cost of locating facilities and the capacity cost as a linear function of the processing capacity. The main decision variables are the number and locations of facilities, the resources allocated to them and the delivery mode selected between facilities and demand. In the first problem, a constraint is imposed to ensure an acceptable response time level. In the second problem, a penalty is charged on the number of days that each unit is delivered later than the targeted response time and is incorporated into the objective function. In the first problem, the probabilistic constraint on the flow time can be linearized and the problem can be formulated as an integer linear programming model. In the second problem, we propose an approximation approach to linearize the objective function and an iterative search and cut algorithm to combine linear approximation with neighborhood search. A multi-start meta-heuristic is also suggested. Computational experiments are conducted to evaluate the performance of these solution procedures. Recommendations are made on the basis of the computational results. This appears to be the first study in the area of locating capacitated facilities with stochastic demand to incorporate the delivery mode choice decision and to evaluate the expected congestion cost as a function of the actual flow time in the facilities, instead of the average one. The models developed enable the decision maker to investigate the effect of a combination of facility location, capacity allocation, and delivery mode decisions on the expected network cost and the response time. In addition, the findings of the computational experiments shed light on tuning parameters of approximation algorithms. © 2020 Wiley Periodicals LLC.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091814777&doi=10.1002%2fnav.21940&partnerID=40&md5=6e1d1bc4c29a502411bfb23f22a267bf,Scopus
,2016,"Aboolian R., Berman O., Wang J.",Responsive make-to-order supply chain network design,"ILS 2016 - 6th International Conference on Information Systems, Logistics and Supply Chain",,,,,,,"Department of Information Systems and Operations Management, California State University San Marcos, San Marcos, CA  92096, United States; Rotman School of Management, University of Toronto, 105 St. George Street, Toronto, ON  M5S3E6, Canada; College of Management, Long Island University, C.W. Post Campus 720, Brookville, New York, NB  11548, United States","In this paper we address the network design of a responsive supply chain consisting of make- To-order (make- To- Assemble) facilities facing stochastic demand from customers residing at nodes of a network. Each facility has a finite (processing) capacity and thus the stochasticity of demand may lead to congestion delays at the facilities. The objective is to determine the number, locations and capacities of the facilities so as to minimize the total network cost. We consider three problems. In the first, we minimize the total network cost which includes delivery and capacity costs while maintaining an acceptable response time to customers. In the second, a penalty is charged on the number of units that are delivered later than the targeted response time. In the third the penalty charged depends also on the number of days that the delivery is late. In both problems 2 and 3 the penalty cost is a function of network's response time.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985916689&partnerID=40&md5=2a587e17a87095fffa741042d8cb0f52,Scopus
10.1109/IIIEC.2019.8720737,2019,"Adabavazaeh N., Nikbakht M.",Interpretive Structural Modeling Analysis of Reverse Supply Chain Critical Success Factors in Air Industry,"Proceedings of 2019 15th Iran International Industrial Engineering Conference, IIIEC 2019",,,99,105,Air industry; Critical Success Factors; Reverse supply chain; Structural interpretive modeling analysis,6.0,"Department of Industrial Engineering, Najafabad Branch, Islamic Azad University, Najafabad, Iran","The air industry is an integral part of the world economy. Based on this, understanding the key factors of success will create a competitive advantage and success in this industry. This research with Understanding the subject and identifying 159 factors by studying the literature of research, reached to 73 factors with an initial sieve. Ultimately, 24 critical success factors were identified by Lawshe technique and with the Structural Interpretative Modeling approach and utilizing experts' opinions we categorized the main success factors of the air industry. The results of the research show that the most influential factors are related to inventory management, transportation, materials and information integration, communications, information technology, mutual trust of supply chain partners, supply chain performance, supply chain flexibility, awareness of inverse support, Knowledge management, standardization, supply chain reliability, collection of return products, monitoring systems for return, cooperation of supply chain components, return and protection policies, and commitment of beneficiaries as interface factors which any partial changes on these factors leading to fundamental changes in the system. © 2019 IEEE.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067127403&doi=10.1109%2fIIIEC.2019.8720737&partnerID=40&md5=79d49cdded372d8e7a9c92eb76655a86,Scopus
10.1007/978-981-13-7603-0_26,2020,"Adam F., Walia D., Hartmann H., Schünemann P., Großmann J.",A Novel Modular TLP-Design for Offshore Wind Turbines Using Ultra High Performance Concrete,Lecture Notes in Civil Engineering,37,,257,268,Flexible supply chain; Floating offshore wind; LCOE approx. 5–8 €ct/kWh; Modular design; TLP,3.0,"Endwowed Chair of Wind Energy Technology, University of Rostock, Rostock, Germany; GICON Holding GmbH, Dresden, Germany","Floating substructures for wind turbines are commonly credited for enabling the offshore wind industry, so far focused on fixed substructures, to expand into deeper waters. As per Arent et al. (Improved offshore wind resource assessment in global climate stabilization scenarios, [4]), 77% of global offshore wind potential is located in water depths deeper than 60 m. However, floating substructures do not yet meet the market expectations with regard to LCOE. By integrating new materials as well as modularity into the design, the costs of the tension leg platform (TLP) development presented in this pater have been significantly reduced. Pre-stressed Ultra-High-Performance-Concrete (UHPC) pipes will be used for this sub-structure. The buoyancy bodies will be fabricated using concrete shell elements known from tunnel engineering. The use of casted iron for the nodes and the Transition Piece (TP) leads to further advantages regarding design and costs. All components are designed for transportability (e.g. via railway) in order to ensure a high level of flexibility within the supply chain. The structural design has been calculated to support turbines of up to 6 MW rated power and more. In October 2017, a scaled model (1:50) of the new substructure design for use with a 6 MW turbine was successfully exposed to wind and wave loads at the Ocean Engineering Tank of the École Centrale de Nantes (ECN). In June 2018, a second measurement campaign was started, and in September 2018 a third campaign will be run to verify the transport & installation process. Th presentation and paper will focus on the TLP design as well as on the model fabrication and scaling. Furthermore, measurement results from the ECN test will be presented. Therefore, the presentation will introduce the measurement setup as well as the measurement types to verify the simulation model. Finally, the verification of the simulation model with the measurements will be highlighted. © 2020, Springer Nature Singapore Pte Ltd.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072064405&doi=10.1007%2f978-981-13-7603-0_26&partnerID=40&md5=9b4a6324fc7240dfec6ee980b28b385b,Scopus
10.1108/JBIM-12-2019-0543,2021,"Adams F.G., Gabler C.B., Landers V.M.",The hiearchical resource nature of green logistics competency,Journal of Business and Industrial Marketing,36,8,1474,1485,Environmental management; Environmental orientation; Market orientation; Resource hierarchy; Resource management; Supply chain management; Supply chain orientation; Sustainability,2.0,"Department of Marketing, Quant, itative Analysis and Business Law, Mississippi State UniversityMS, United States; Department of Marketing, Ohio University, Athens, OH, United States","Purpose: This paper aims to examine the common roots of both logistics and sustainability phenomena in supply chains to derive a new potential construct, green logistics competency. Design/methodology/approach: Theoretical synthesis and conceptualization of new construct. Findings: Based on Madhavaram and Hunt’s (2008) resource hierarchy concept, the key to successfully competing with a sustainable supply chain may lie in whether the resources enabling both sustainability and effective supply chains are interdependent, as opposed to merely co-existent. Research limitations/implications: Most current theory regarding sustainable supply chains regards environmentally-friendly factors as resources that are additively bundled with supply chain resources. To determine if competitive performance differentials exist between truly green supply chains, and supply chains that merely adopt green practices, measurement must account for both the interdependence of green and supply chain resources, and their common cultural antecedents. Practical implications: The study indicates that it is not sufficient for firms to have expertise in both sustainability and in supply chain practices; managers in each of those areas must develop the cultural antecedents of both supply chain and sustainability excellence if firms are to achieve meaningful competitive capabilities through sustainable supply chains. Originality/value: This conceptual study addresses a paucity of theory describing how and why organizations build a genuinely green supply chain, as opposed to simply adapting supply chains to green practices. © 2020, Emerald Publishing Limited.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112190123&doi=10.1108%2fJBIM-12-2019-0543&partnerID=40&md5=31ce9962186d69be4dc30bebe443ea53,Scopus
10.1108/IJLM-01-2020-0019,2020,Adobor H.,Supply chain resilience: an adaptive cycle approach,International Journal of Logistics Management,31,3,443,463,Adaptive cycles; Complex adaptive systems; Pathologies; Supply chain management; Supply chain resilience,21.0,"Department of Strategy and Entrepreneurship, Quinnipiac University School of Business, Hamden, CT, United States","Purpose: The purpose of this paper is to develop a conceptual framework for extending an understanding of resilience in complex adaptive system (CAS) such as supply chains using the adaptive cycle framework. The adaptive cycle framework may help explain change and the long term dynamics and resilience in supply chain networks. Adaptive cycles assume that dynamic systems such as supply chain networks go through stages of growth, development, collapse and reorientation. Adaptive cycles suggest that the resilience of a complex adaptive system such as supply chains are not fixed but expand and contract over time and resilience requires such systems to navigate each of the cycles’ four stages successfully. Design/methodology/approach: This research uses the adaptive cycle framework to explain supply chain resilience (SCRES). It explores the phases of the adaptive cycle, its pathologies and key properties and links these to competences and behaviors that are important for system and SCRES. The study develops a conceptual framework linking adaptive cycles to SCRES. The goal is to extend dynamic theories of SCRES by borrowing from the adaptive cycle framework. We review the literature on the adaptive cycle framework, its properties and link these to SCRES. Findings: The key insight is that the adaptive cycle concept can broaden our understanding of SCRES beyond focal scales, including cross-scale resilience. As a framework, the adaptive cycle can explain the mechanisms that support or prevent resilience in supply chains. Adaptive cycles may also give us new insights into the sort of competences required to avoid stagnation, promote system renewal as resilience expands and contracts over time. Research limitations/implications: The adaptive cycle may move our discussion of resilience beyond engineering and ecological resilience to include evolutionary resilience. While the first two presently dominates our theorizing on SCRES, evolutionary resilience may be more insightful than both are. Adaptive cycles capture the idea of change, adaptation and transformation and allow us to explore cross-scale resilience. Practical implications: Knowing how to prepare for and overcoming key pathologies associated with each stage of the adaptive cycle can broaden our repertoire of strategies for managing SCRES across time. Human agency is important for preventing systems from crossing critical thresholds into imminent collapse. More importantly, disruptions may present an opportunity for innovation and renewal for building more resilience supply chains. Originality/value: This research is one of the few studies that have applied the adaptive cycle concept to SCRES and extends our understanding of the dynamic structure of SCRES. © 2020, Emerald Publishing Limited.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087816005&doi=10.1108%2fIJLM-01-2020-0019&partnerID=40&md5=eb1d82e746c9791b221a32bc21acd7f3,Scopus
10.1007/s40171-015-0107-z,2015,"Agarwal A., Vrat P.",A TISM Based Bionic Model of Organizational Excellence,Global Journal of Flexible Systems Management,16,4,361,376,Analogy; Bio-mimicry; Human body organization; Metaphor; Organizational excellence; TISM,30.0,"The NorthCap University (Formerly ITM University), Sector 23 A, Gurgaon, India","The purpose of this paper is to identify the enablers for organizational excellence inspired by human body; based on which a generally applicable framework that establishes relationships among these enablers can be developed. In the first part of the paper, human body systems and sub-systems are analyzed from organizational perspective operating in dynamically changing environment. The examination of human body organization subsystems has revealed nine attributes that enable human body to become an optimally managed organization. The nine attributes are: quick responsiveness to external stimuli, coordination, communication, control, optimal supply chain management, adaptability, reliability, innovativeness, and self regulation. In the second part of the paper, these nine enablers are modeled using TISM. The model developed clearly demonstrates the driving and dependence of the enabler in human body organization. It is expected that the proposed model can inspire and provide insight to businesses in improving their design and function which will help in achieving organizational excellence. © 2015, Global Institute of Flexible Systems Management.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948669482&doi=10.1007%2fs40171-015-0107-z&partnerID=40&md5=0b54243c3b131ad3966c4c6ba5575983,Scopus
